vessel_volume,feed_temperature,feed_mass_flow,tr2-butene_mass_fr,feed_mass_dens,prod_mass_dens,prod_temperature
0.01,27.5,0.1389,0.9035,616.3583,565.5246,53.7641
0.01,27.5,0.1389,0.9035,616.3583,565.5246,53.7641
0.11,16.0,0.3056,0.9794,629.906,574.4067,46.0478
0.11,16.0,0.3056,0.9794,629.906,574.4067,47.7235
0.11,18.0,0.3056,0.9793,627.5852,572.1964,47.7235
0.11,19.0,0.3056,0.9793,626.4195,571.0841,48.5617
0.11,19.0,0.3056,0.9792,624.0771,568.8444,50.2389
0.11,21.0,0.3056,0.9792,624.0771,567.7171,51.0778
0.11,22.0,0.3056,0.9792,622.9003,567.7171,51.0778
0.11,23.0,0.3056,0.9791,621.7197,566.5845,51.9169
0.11,23.0,0.3056,0.979,619.3468,564.3034,53.5958
0.11,25.0,0.3056,0.979,619.3468,564.3034,53.5958
0.11,25.0,0.3056,0.979,619.3468,564.3034,53.5958
0.11,25.0,0.3056,0.979,619.3468,564.3034,53.5958
0.11,28.0,0.3056,0.9789,615.7575,560.8414,56.1153
0.11,28.0,0.3056,0.9789,615.7575,560.8414,56.1153
0.11,28.0,0.3056,0.9789,615.7575,560.8414,56.1153
0.11,31.0,0.3056,0.9788,612.1306,557.3283,58.6362
0.11,31.0,0.3056,0.9788,612.1306,557.3283,58.6362
0.11,31.0,0.3056,0.9788,612.1306,557.3283,58.6362
0.11,31.0,0.3056,0.9788,612.1306,557.3283,58.6362
0.11,31.0,0.3056,0.9786,605.9974,551.3514,62.8407
0.11,37.0,0.3056,0.9785,604.7568,550.1402,63.6796
0.11,37.0,0.3056,0.9785,604.7568,550.1402,63.6796
0.11,37.0,0.3056,0.9785,604.7568,550.1402,63.6796
0.11,37.0,0.3056,0.9785,601.0057,546.4587,66.2019
0.11,40.0,0.3056,0.9783,599.7452,545.2183,67.0423
0.11,41.0,0.3056,0.9783,599.7452,545.2183,67.0423
0.11,42.0,0.3056,0.9783,598.4796,543.9706,67.8829
0.11,42.0,0.3056,0.9782,595.9325,541.4533,69.5638
0.11,44.0,0.3056,0.9782,594.6508,540.1839,70.4039
0.11,45.0,0.3056,0.9781,594.6508,540.1839,70.4039
0.11,46.0,0.3056,0.9781,593.3636,538.9065,71.2441
0.11,46.0,0.3056,0.9781,593.3636,538.9065,71.2441
0.11,46.0,0.3056,0.9781,593.3636,538.9065,71.2441
0.11,46.0,0.3056,0.9781,593.3636,538.9065,71.2441
0.11,46.0,0.3056,0.9778,586.8402,532.3993,75.4428
0.11,16.0,0.4722,0.9686,629.906,574.9972,45.7548
0.11,16.0,0.4722,0.9686,629.906,574.9972,45.7548
0.11,16.0,0.4722,0.9686,629.906,574.9972,45.7548
0.11,18.0,0.4722,0.9684,627.5852,572.7888,47.4325
0.11,18.0,0.4722,0.9684,627.5852,572.7888,47.4325
